,gene_name,0528 cell,0528 EV,0618 EV,0622 EV,0618 cell,0622 cell
228,ARL1,725895.4201,185973.7436,348109.8287,321557.2026,565959.2053,1039837.746
229,ARL2,10735335.1306,2851635.866,3735655.6859999998,2786676.7221,11732332.093,12672247.593
230,ARL3,21790499.37066,4626947.3126799995,5624367.6923,6203492.31868,28720498.30877,25765682.30644
231,ARL6IP1,4216045.765,1949915.725,2363138.077,1776482.106,4705158.018,4350342.823
232,ARL6IP4,1277903.008,176381.3288,341830.3061,186837.7503,1476036.757,1468996.836
233,ARL6IP5,7558796.991599999,916748.8123,1305178.6534799999,2139268.37318,9016630.2327,7198018.0333
234,ARL8A,10351791.507,3028698.4976000004,4553852.8682,3025497.7718,14656468.004,9932161.103
235,ARL8B,4161080.47839,1258433.6161,1132797.61916,1810185.33676,5204982.2234000005,4364989.68181
236,ARMC1,4303380.016000001,494961.2419,759556.7882999999,529529.94,5172886.307,4588103.984999999
237,ARMC10,1346931.5902999998,202503.14952,287987.43935999996,225846.66477,1880010.2507000002,1616102.4137
238,ARMC6,772725.1925,224806.1381,319727.572,343107.5436,943086.5831,1023983.401
239,ARMC8,1362341.8926,792864.4856,1166800.6236,809237.2642,1702933.8782,1466703.0303
240,ARMC9,6626800.2677299995,1361715.52883,1739406.2905899999,1478293.847,7635074.9479,7348208.2008299995
241,ARMCX3,680895.3804,130873.2093,183326.4331,110048.363,1402002.199,458316.0826
242,ARMH3,368648.1469,92993.06022,172754.1338,141024.0602,521717.4839,499835.2936
243,ARPC1A,3586954.2350000003,1398193.5227,2325664.3897,1762142.5476,5126678.743,4064321.334
244,ARPC1B,48468435.410119995,14255494.310166,22730957.59756,19776348.60111,58668198.846149996,52489943.60855
245,ARPC2,53154563.1103,18667762.8252,28535823.3987,22514117.2401,54396009.8675,67376796.2272
246,ARPC3,20280326.19458,6899556.72403,10412369.03101,8084902.18946,26959259.9318,20925385.03596
247,ARPC4,40380068.826,13977208.7108,22128731.369,17563319.2505,52996858.7402,44660313.9933
248,ARPC5,41120908.845300004,9274410.61547,14939990.20176,11835887.20198,45030514.5726,46615600.2714
249,ARPC5L,5007656.0083,2314134.10353,4308815.838599999,2859510.29141,7064687.4923,5845036.2005
250,ARPP19,5092226.795899999,204147.46632,285688.7905,380131.92045,5888398.1035,5856153.862
251,ARRB1,9815135.60768,3519916.36365,6193457.39544,3293906.72593,9272351.55256,11400028.141
252,ART4,1821558.9100000001,2261164.3137000003,9052629.882,16061898.135,1612678.3271,2496725.8211999997
253,ASAH1,2355409.9482,955986.85871,3107383.4425,1451602.33217,3965590.6508,2375494.8477
254,ASCC1,755993.1781,124949.7381,148093.8896,172480.8113,943412.9265,860041.5516
255,ASCC3,148462.5127,44030.43053,76311.71749,91076.73515,260773.8161,156666.4399
256,ASH2L,466045.55500000005,205037.76172,307703.6007,209013.86132999999,503036.4624,670592.6417
257,ASL,2431275.4495,602218.2102600001,977471.2827600001,761300.58913,2835282.5734,2455802.9503
258,ASNS,32787029.34944,5939412.9896,10422346.07883,8005614.044509999,46495754.01287,40075213.15625
259,ASPG,387162.7149,1615612.1668,3049926.8131,3290516.1761000003,409071.8692,552567.1348
260,ASPH,15043966.754013,3244747.8697,5530969.1849,3752075.431052,24007617.283007998,15101130.153474
261,ASPSCR1,158038.7377,72713.3947,102907.587,100361.5724,225514.8998,181075.199
262,ASRGL1,858208.6174000001,183205.05023,273091.6313,268243.826,1118971.1712,1006755.0623000001
263,ASS1,449317.5933,131435.8888,184387.2984,118087.7358,860897.938,340798.5929
264,ASXL1,551840.8698,3072206.337,3104660.552,2380338.596,478828.2444,571504.6788
265,ATAD1,1030912.2272,245148.5679,320772.2733,274832.1357,1967332.2614,1242930.2116
266,ATAD3A,30512612.64942,1467807.9862600002,1864239.5749599999,2593529.9947099998,42177664.8559,31313528.9553
267,ATAD3B,289119.6542,41306.14867,46556.611650000006,59395.0669,558106.0155,280402.4821
268,ATE1,224816.9611,87605.2209,153368.5261,108964.1402,298004.6669,307807.4519
269,ATG12,709214.6548,275394.898,360385.7703,353047.0886,919619.6712,864823.6804
270,ATG16L1,2567706.199,1067244.5189,1234415.4100000001,847214.7108,5418345.7762,2606936.285
271,ATG3,3534150.1108399997,800646.69311,851611.74947,1096747.5766699999,3867605.49809,4992749.5574
272,ATG5,1680440.3266,599893.8949,777784.7725,510529.051,2007209.5897,2132034.9184
273,ATG9A,654048.341,276083.9352,347491.6137,236268.0482,827578.7116,747564.1953
274,ATIC,125233750.18133,33820793.223135,38734861.757677004,37229472.835091,153605585.55448,145216311.485448
275,ATL2,489901.4858,141733.5761,189428.72509000002,160400.68531,532803.2767,628366.3130000001
276,ATL3,43081708.4512,9043387.48448,14074089.75502,8585080.37318,46971095.660000004,49630351.308139995
277,ATM,863771.4491,320951.905,550212.0463,235784.4338,894538.2947,919386.5806
278,ATMIN,288097.27383,191942.39028,181962.48173,283847.47035,297796.34527,348520.5168
279,ATOX1,9684595.91348,1082484.923749,1108089.21417,1413061.566408,10278277.509876,10388977.886606
280,ATP11A,62141.00743,47745.54697,37697.79776,50848.20593,68342.45916,49371.95448
281,ATP1A1,50733913.458629996,54427264.91139,37716655.44632,73822960.7588,69485830.81278001,54052882.21174
